timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;300.84;flow_0.0;172425925_0;1.70;0.00;0.00;vehDist74;13.429740;52.498311
1.00;300.84;flow_0.0;172425925_0;2.25;0.00;0.55;vehDist74;13.429733;52.498313
2.00;300.84;flow_0.0;172425925_0;3.38;0.00;1.13;vehDist74;13.429718;52.498318
3.00;300.84;flow_0.0;172425925_0;5.17;0.00;1.79;vehDist74;13.429695;52.498326
4.00;300.84;flow_0.0;172425925_0;7.50;0.00;2.33;vehDist74;13.429666;52.498336
5.00;300.84;flow_0.0;172425925_0;10.55;0.00;3.05;vehDist74;13.429627;52.498350
6.00;300.84;flow_0.0;172425925_0;14.35;0.00;3.80;vehDist74;13.429578;52.498367
7.00;300.84;flow_0.0;172425925_0;18.64;0.00;4.29;vehDist74;13.429523;52.498386
8.00;300.84;flow_0.0;172425925_0;23.66;0.00;5.01;vehDist74;13.429459;52.498408
9.00;300.84;flow_0.0;172425925_0;29.46;0.00;5.80;vehDist74;13.429384;52.498434
10.00;300.84;flow_0.0;172425925_0;35.63;0.00;6.17;vehDist74;13.429305;52.498461
11.00;300.84;flow_0.0;172425925_0;42.20;0.00;6.57;vehDist74;13.429221;52.498491
12.00;300.84;flow_0.0;172425925_0;48.66;0.00;6.46;vehDist74;13.429138;52.498519
13.00;300.84;flow_0.0;172425925_0;55.07;0.00;6.41;vehDist74;13.429056;52.498548
14.00;300.84;flow_0.0;172425925_0;61.47;0.00;6.40;vehDist74;13.428974;52.498576
15.00;300.84;flow_0.0;172425925_0;67.65;0.00;6.18;vehDist74;13.428895;52.498604
16.00;300.84;flow_0.0;172425925_0;74.25;0.00;6.60;vehDist74;13.428811;52.498633
17.00;300.84;flow_0.0;172425925_0;80.51;0.00;6.26;vehDist74;13.428731;52.498661
18.00;300.84;flow_0.0;172425925_0;86.82;0.00;6.31;vehDist74;13.428650;52.498689
19.00;300.82;flow_0.0;:2486977907_0_0;0.20;0.00;6.42;vehDist74;13.428567;52.498717
20.00;299.83;flow_0.0;241020237#0_0;6.22;0.00;6.32;vehDist74;13.428485;52.498745
